,Latitude,Longitude,January,February,March,April,May,June,July,August,September,October,November,December
91197,-41.49,147.44,-0.205708661,0.011870675,0.109403392,-0.226752906,-0.073490814,-0.138313303,0.282748747,-0.511811024,0.122047244,-0.139982502,-0.142337977,-0.137795276
92024,-41.47,147.89,0.01312336,0.073115861,-0.038281482,-0.012190572,-0.023672522,-0.120379076,0,0.054969544,0.022877208,-0.072943118,0.146161417,0.015069728
39019,-24.3,150.94,-0.482896453,-0.270340919,-0.302554314,-0.15376203,0.003098571,-0.019054488,0.235623956,0.106252322,0.140705698,0.038737771,-0.159457789,-0.377464406
38006,-23.73,140.3,-0.018700787,-0.024398359,0,0,0,0,0,0,0,0.030209899,0,0
37043,-21.61,138.31,0.011039304,0.002423348,0,0,0,0,0,0,0.007093127,0.011811024,0.054552796,0.050949514
36050,-22.02,145.98,-0.178201409,-0.504077615,-0.472440945,-0.13920135,0,0.034913089,0.040914003,0.054133858,0.103977387,0.042250816,0.04082823,0.003149606
35199,-22.28,147.44,-0.036715581,0,0.005936758,0.077983041,0.012555416,-0.097810039,0,0,0,0.079813887,0.039370079,-0.082780771
35066,-24.53,148.35,0,0.042473139,0.059741806,0.039370079,0.094094488,0.208189702,-0.152890988,-0.104855643,-0.420852566,-0.595631191,-0.458037258,-0.131233596
33076,-23.13,150.37,-0.154516976,0.037855845,-0.137131735,-0.050393701,0.00492126,-0.003407026,-0.003461106,-0.000894775,0.009544262,0,0.068428946,0.016211209
33053,-21,148.94,-0.726832223,-0.590551181,-0.21723847,0.449943757,0.960629921,0.317500635,0.516328902,0.163422968,0.388537498,-0.071415492,-0.138994044,-0.352988547
31033,-16.6,145.36,-1.109699356,-2.24343832,-1.206339592,-0.266602841,-0.156110817,-0.094080912,0.181546664,0.264575377,0.455977094,1.05013659,0.780149192,0.225094146
30041,-20.87,144.6,-0.281297558,-0.08328103,-0.01789549,0.03350645,0.126359205,0.056430446,0,0,0,0,-0.05540974,-0.140255906
29132,-20.14,141.43,-0.436351706,-0.390847883,-0.139309509,0,0,0,0,0.00984252,0.159057642,0.333584072,0.181965173,-0.065414567
29048,-16.97,141.95,-0.76894685,-1.007217848,-0.661238368,0,0,0,0,0,0,0.007776806,-0.031167979,-0.469332781
29038,-15.48,141.75,-1.183291713,-0.150590551,0,0.032808399,0.285433071,0.226377953,0.039370079,0.033669807,0.102704553,-0.158534623,-0.433307679,-0.769068639
