,Latitude,Longitude,January,February,March,April,May,June,July,August,September,October,November,December
88083,-37.27,143.52,-0.242436801,0.149637879,0.269800834,-0.118110236,-0.061867267,-0.472440945,0.281214848,-0.331833521,-0.729330709,-0.329177603,0.043744532,-0.215223097
88054,-37.27,144.11,-0.216535433,0.115485564,0.478704366,0.039370079,0.176227972,0.005624297,0.751818523,0.101899027,-0.584494246,-0.195866142,-0.141076115,0.003579098
88056,-37.17,143.7,-0.281647486,-0.243719535,0.236220472,-0.092519685,-0.157480315,-0.414791901,0.091863517,-0.308744302,-0.309930009,-0.586224799,-0.052396943,-0.136005727
88066,-37.21,144.1,-0.387139108,0.251968504,0.438976378,0.119119725,-0.320428696,-0.183070866,0.290354331,-0.413162133,-0.557742782,-0.504863363,0.148216767,0.017224409
87026,-37.49,144.61,-0.52891826,0.331833521,0.31332021,-0.090432775,0.146743021,-0.481526348,-0.099737533,0.231772411,-0.226651356,0.297900262,0.696547547,-0.104214914
87036,-37.42,144.56,-0.761154856,0.273274664,0.257063455,-0.024996875,-0.037495313,-0.144356955,0.603674541,-0.067613831,-0.315433828,0.111548556,-0.199662542,0.03134464
87061,-37.57,144.74,-0.674540682,0.440944882,0.008530184,-0.005905512,-0.205967675,-0.579724409,0.039370079,-0.039370079,-0.999761393,-0.462598425,-0.351302241,-0.090758392
23705,-34.8,138.95,1.160381268,1.031496063,0,-0.622763064,-1.771653543,-1.394825647,-1.436070491,-1.541994751,-0.411511061,0.804044381,1.396079396,1.828919112
23719,-34.82,138.89,0.178021226,0.015748031,0.230163537,0.208832592,1.044244469,0.08967629,0.834645669,0,-0.247469066,-0.009085403,-0.209973753,0
23731,-34.83,138.82,-0.052024747,0.026246719,0.216535433,0.173103362,0.476377953,-0.80839895,0.203412073,-0.216893343,-0.964566929,-0.455481526,-0.35887341,0.341957255
23737,-34.77,139.05,0.032211883,0.125347383,0.153105862,0.354330709,0.433070866,-0.24838692,0.326771654,-0.641404199,-0.886129618,-0.457130359,-0.13976378,0.214035746
23750,-34.96,138.74,0.026246719,0,0.478704366,0.419947507,0.923009624,-0.236220472,1.132733408,-0.349956255,-0.86972083,-0.820209974,-0.396016674,0.259379342
23803,-34.94,138.73,0.053149606,0,0.296212973,0.201537308,0.446194226,-0.714285714,0.102362205,-0.685695538,-1.261914629,-1.000023023,-0.510826772,0.166229221
21001,-34.03,138.68,0.006056935,0.086311326,0.173824863,0.337457818,0.472440945,-0.066724614,0.371730877,-0.229062276,-0.645063598,-0.6332021,-0.230596175,0.250984252
21002,-34.14,138.42,-0.016576875,0,0.118110236,0.393700787,0.381384479,-0.111548556,-0.007874016,0.294239536,-0.342730596,-0.278871391,-0.326801255,0.05457438
21003,-33.91,138.72,-0.139982502,-0.12935883,0.167322835,0.367454068,0.556329497,-0.330708661,0.255905512,0.118110236,-0.489782527,-0.807399075,-0.024606299,0.515390122
21035,-34.03,138.32,-0.006249219,0,0.049868766,0.216535433,0.210142001,-0.429133858,0.106791339,-0.02999625,-0.439632546,-0.496812898,-0.378937008,0.092434098
21054,-33.96,138.64,-0.05511811,0.114829396,0.256941567,0.279169649,0.415573053,-0.428239084,0.059055118,-0.637173643,-0.94242126,-0.929790026,-0.399589474,0.253937008
21076,-33.93,138.81,0.003937008,0.062833055,0.162112089,0.20888014,0.374015748,-0.300644238,0.053805774,-0.393700787,-0.398622047,-0.643044619,-0.398075241,0.341207349
23039,-34.19,138.63,0.030974988,-0.018044619,0.137482815,0.238536359,0.519544432,-0.16396743,0.105924259,-0.080708661,-0.624015748,-0.496642465,-0.382452193,0.116566312
97014,-41.44,145.53,-0.399757723,-0.515091864,0.496937883,-1.411023622,1.899904557,-1.189902733,0.31496063,-0.911925483,-0.494094488,-0.680188414,-2.005686789,0.375529982
91181,-41.43,147.21,-0.643044619,-0.084797093,0.807086614,-0.193271296,0.447620678,0.177165354,0.077427822,-0.055946954,0.044291339,-0.070303712,0.157480315,0.258429235
91197,-41.49,147.44,-0.517435321,-0.150918635,0.816929134,-0.059055118,0.296587927,-0.144356955,0.622265967,-1.132983377,0.369817903,-0.240852246,-0.247469066,0.287572749
92024,-41.47,147.89,-0.589926259,0.280770825,0.452755906,0.166229221,0.283464567,0.535870516,-0.190288714,0.170695446,0.044417525,-0.177579776,0.459317585,0.150322119
39019,-24.3,150.94,-0.811656355,0.006859938,-1.223753281,0.169594185,1.074512348,0.58600848,2.043728909,0.90832396,-0.225393701,-0.036288078,-1.303458391,-0.94242126
38006,-23.73,140.3,-0.915354331,0,0,0,0,0,0,0.400731159,0.023903262,-0.128086365,0,0.25984252
37043,-21.61,138.31,-0.910433071,-0.047244094,0,0,0,0,0,0,0.089566929,-0.422639478,0.201685316,2.461098613
36050,-22.02,145.98,-0.482064742,-1.487314086,-0.640658554,0.136154856,0,0.232641374,1.05424322,1.453880765,1.036089239,0,-1.206658378,-1.146504414
35199,-22.28,147.44,-0.950131234,-0.383858268,0.548152635,0.453810461,0.317147857,0.038713911,-0.567585302,0.253400143,-0.009006227,-0.257006773,-0.472991575,-1.417322835
35066,-24.53,148.35,0.632545932,0.381268131,0,-0.534308211,-0.798138869,-1.16720704,-0.437445319,-0.242277408,-0.00984252,0.219347582,1.012373453,0.843644544
33076,-23.13,150.37,0.433070866,1.464566929,-0.018897638,0.078740157,-0.332078055,0.039370079,-0.085301837,-0.039370079,0.377952756,0.016872891,-0.091863517,-0.288713911
33053,-21,148.94,-0.440018527,3.543307087,2.099737533,7.217847769,5.286839145,2.755905512,0.393700787,-0.236220472,0,-0.05624297,-0.94488189,-0.866141732
31033,-16.6,145.36,-5.366516685,-1.34295713,-2.049928418,-0.988228744,0.255905512,0.865425913,2.122047244,11.6231721,7.992125984,1.531058618,-4.287759485,-3.33737129
30041,-20.87,144.6,-0.02999625,0.590551181,-0.058752271,0.93996063,-1.719160105,-1.417322835,-0.148731409,0,0,-0.569351908,0,0
29048,-16.97,141.95,0,-0.881889764,0,0,0.187007874,0.826771654,4.81496063,6.364829396,2.736220472,-0.830350752,-0.718503937,-0.810367454
29038,-15.48,141.75,0.29706514,2.677165354,5.460629921,4.590088004,3.328561203,-2.139107612,-5.692913386,-5.382764654,-1.429133858,0,0,0.008500358
18110,-30.61,130.41,0.023391962,0.08295838,0.068202872,-0.04887976,-0.236220472,-0.091863517,-0.123578303,-0.027066929,-0.155164428,-0.201224847,-0.201224847,-0.294239536
17004,-28.89,136.17,0,0,0,0,0,0,-0.074108384,-0.207349081,0,0,0,0
12029,-32.03,122.8,-0.167322835,-0.066437008,0.266505148,-0.17560305,0.062335958,0.067667323,-0.320613769,-0.114275488,0.022145669,-0.165682415,-0.427446569,-0.58672106
10658,-32.83,116.99,-0.551938219,-0.854179285,-0.921259843,-0.647038685,0.044994376,0.015748031,0.113735783,0.354330709,0.496062992,0.514126911,0.853018373,-0.114531138
10528,-33.25,117.66,0.444736075,0.539283551,0.110376828,0.213576244,-0.393700787,-0.675348274,-0.776902887,-0.531930292,-0.309433677,-0.213723285,-0.092671108,0.77404387
9573,-34.25,116.15,-1.504811899,-0.464566929,-0.229373502,0.026246719,0.140607424,0.446194226,0.796150481,1.256263422,0.022713507,-0.18483485,-1.633086305,-1.702562915
9009,-31.6,116.11,-0.528683915,0.069991251,-0.255905512,-0.651793526,-0.286839145,0.440944882,-0.021474588,1.412691061,0.559383202,0.433702472,0.577060735,-0.016205361
