,410001,410004,410006,72000,72004,720024,72042,72044,72154,73019,73025,73029,73124,74126,Lake City,Camden,Hillsboro,phoenix area,Marshall,Subiaco,HOBART MUNICIPAL AP ,TUCUMCARI 4 NE ,DEATH VALLEY NATIONAL PARK  ,HOPEWELL,NEOSHO ,LAS ANIMAS ,BLANDING,Yosemite national park area,Saluda,Clarksdale,Portales,Springerville,Ojai
1905-05-01,27991.779,,,74.7,81.9,,44.6,104.7,,53.3,35.5,50.8,48.4,40.3,,,,,,,,,,,,,,,,,,,
1905-06-01,347268.191,303188.97,,166.6,232.8,,116.3,160.6,,84.1,75.5,115,88.4,82.1,,,,,,,,,,,,,,,,,,,
1905-07-01,1008415.982,832292.242,,138.9,279.8,,112.6,150.7,,77.7,53.5,75.2,56.6,78.9,,,,,,,,,,,,,,,,,,,
1905-08-01,344882.683,305988.903,,46.5,60.2,,43.1,42.8,,29.2,26.7,16.7,22.6,25.7,,,,,,,,,,,,,,,,,,,
1905-09-01,267463.332,250981.277,,60.3,97.8,,43,53.6,,40.1,40.4,50.1,12.7,18.2,,,,,,,,,,,,,,,,,,,
1905-10-01,400761.232,395412.687,,114.8,159.6,,91.2,111.5,,77.5,88.2,85.4,65.1,57.5,,,,,,,,,,,,,,,,,,,
1905-11-01,292520.948,257626.161,,6.6,9.7,,6.9,6.9,,7.4,0.5,4.3,0,1,,,,,,,,,,,,,,,,,,,
1905-12-01,91911.176,,,26,51.5,,14.2,23.8,,25.1,18.3,9.7,18.5,15,,,,,,,,,,,,,,,,,,,
1906-01-01,31561.313,,,0.6,21.6,,4.3,0.6,,0.8,1.6,2.3,0,0.5,,,,,,,,,,,,,,,,,,,
1906-02-01,11637.719,,,35.4,26.7,,4.9,65.1,,11.2,29,18.8,7.4,0,,,,,,,,,,,,,,,,,,,
1906-03-01,83993.172,,,219.8,363,,132.8,162.6,,141.7,99.1,159.7,118.8,83.1,,,,,,,,,,,,,,,,,,,
1906-04-01,231414.859,226419.705,,100.4,142.2,,76.2,109.4,,70.4,70.9,55.1,73.5,null,,,,,,,,,,,,,,,,,,,
1906-05-01,302761.732,287382.103,,94.9,162.9,,104.7,99.5,,88.9,110.3,58.2,81,null,,,,,,,,,,,,,,,,,,,
1906-06-01,585181.551,503766.143,,107.4,245,,70.2,118.6,,54.9,55.5,69.4,38.2,null,,,,,,,,,,,,,,,,,,,
1906-07-01,692439.492,551486.984,,59.7,185,,40.4,76.8,,19.6,23.6,27.8,17.7,null,,,,,,,,,,,,,,,,,,,
1906-08-01,646298.785,579780.471,,65,98.3,,69.6,60.3,,64,59.1,75.5,50.3,null,,,,,,,,,,,,,,,,,,,
1906-09-01,1519135.824,1037961.32,,129,182.1,,124.6,159.2,,95.3,87.6,123.3,102.1,null,,,,,,,,,,,,,,,,,,,
1906-10-01,1258831.379,1039495.029,,113.2,203,,101.4,111.9,,83.1,72.3,116.2,67.4,null,,,,,,,,,,,,,,,,,,,
1906-11-01,,308136.636,,92.6,177,,109.1,99,,77,58,49.6,73.7,null,,,,,,,,,,,,,,,,,,,
1906-12-01,,208964.445,,43.2,37.9,,28.8,45.4,,27.4,23,42.7,22.4,null,,,,,,,,,,,,,,,,,,,
1907-01-01,,,,93,31.5,,87.4,30.5,,29.7,12.2,31.8,52.6,0,,,,,,,,,,,,,,,,,,,
1907-02-01,,,,6.6,27.9,,6.4,12.7,,3.8,0.5,1.8,0,0,,,,,,,,,,,,,,,,,,,
1907-03-01,,,,24.6,37.8,,20.1,39.4,,20.3,24.2,9.6,29,0,,,,,,,,,,,,,,,,,,,
