,410001,410004,410006,72000,72004,720024,72042,72044,72154,73019,73025,73029,73124,74126,Lake City,Camden,Hillsboro,phoenix area,Marshall,Subiaco,HOBART MUNICIPAL AP ,TUCUMCARI 4 NE ,DEATH VALLEY NATIONAL PARK  ,HOPEWELL,NEOSHO ,LAS ANIMAS ,BLANDING,Yosemite national park area,Saluda,Clarksdale,Portales,Springerville,Ojai
1961-07-01,416092.657,398154.151,186301.784,69.5,170.4,60.6,80.6,93.2,75.8,55.8,51.2,74.7,65.3,76.9,3.47,11.13,6.79,0.4,4.15,10.41,2.95,1.73,0.0005,3.49,5.37,null,0.78,0.36,2.94,8.4,null,3.02,0
1961-08-01,452018.521,428507.207,138429.792,78.4,114.9,78.2,76.2,67.9,68.6,70.3,66.5,59.8,77.2,48.5,13.86,5.22,0.45,2.11,9.6,3.64,2.31,4,0.75,6.01,3.25,2.88,1.6,0.72,3.94,3.27,3.82,2.5,0.04
1961-09-01,589304.971,581747.814,121951.892,39.4,44.5,44.5,39.1,39,40.6,18.6,23.5,27.5,16.8,16.8,1.3,5.05,2.99,0.22,1.77,2.93,3.57,1.32,0,3.21,7.34,0.87,1.63,1.01,1.13,1.36,1.02,2.14,0.15
1961-10-01,264775.531,235930.288,57401.532,25.7,51.9,21.4,21.8,22.9,22.4,14.8,19.6,37.3,9.4,30.5,0.6,3.11,3.52,0.08,3.17,1.61,3.35,1.04,0.01,8.79,2.32,0.22,1.65,0.97,0.52,1.22,0.32,3.04,0
1961-11-01,349297.848,365873.02,44368.688,85.7,97.9,56.4,62.1,90.8,60.3,76.9,75.3,90.4,107.2,66.5,2.16,8.41,5.29,0.12,4.71,5.64,3.19,1.58,0.25,1.46,2.9,0.72,0.79,3.53,1.88,8.1,2.1,1.62,4.44
1961-12-01,579536.93,591242.889,68093.068,100,158.9,127,91.8,144.9,80,69.8,57.3,64.3,90,49.5,1.05,8.7,2.87,0.85,6.74,3.63,0.69,0.47,0.16,5.29,2.33,0.12,0.89,2.25,5.44,7.33,0.68,1.08,1.58
1962-01-01,247738.869,224291.858,51554.105,120.5,188.7,114.6,118.8,150.7,108.2,96.5,108.2,143.5,129.3,82.8,1.86,6.08,1.19,1.2,5.06,3.28,0.15,0.41,0.0005,4.83,1.67,0.28,0.38,3.03,7.65,7.74,0.6,1.65,2.86
1962-02-01,247479.373,231205.886,53037.007,18.9,26.3,11.5,16.7,23.3,32.8,24.1,18.2,50.9,50.6,8.9,0.76,3.09,1.85,0.83,6.19,3.44,0.09,0.09,0.39,3.49,2.05,0.05,1.64,17.24,4.4,3.82,0.39,0.46,19.56
1962-03-01,257723.099,249975.626,34599.531,25.9,68,47.5,47.2,30,30.5,37.6,28.7,31.8,38.1,51.3,4.51,5.34,1.09,0.5,4,2.91,0.18,0.4,0.11,3.66,1.63,0.61,0.4,5.31,5.2,3.39,0.4,0.33,1.47
1962-04-01,193588.124,173141.992,105158.635,39.9,43.7,11.4,35.5,42.5,32.5,7.6,14.2,10.2,12.2,16.2,2.13,3.43,2.76,0,3.6,2.18,2.51,0.45,0,4.23,3.1,0.37,0.09,0.63,null,1.73,0.17,0.07,0
1962-05-01,208027.73,186654.449,165236.722,96.7,150.6,84.9,86.1,99.2,92.8,90.4,73,74.2,74.9,71.7,2.19,2.7,3.02,0.0005,3.36,1.11,3.33,0.3,0.0005,2.71,2.22,2.53,0.3,1.11,2.3,3.45,0.22,0.05,0.47
1962-06-01,210770.635,183519.064,166489.42,50.3,110.9,53,35.6,58.9,47.2,27.8,18.4,24.3,27.4,22.9,6.61,4.29,5.17,0.12,4.62,4.38,8.71,3.12,0,6.06,6.15,1.56,0.29,0.31,2.71,4.37,0.55,0.68,0.04
1962-07-01,239454.348,215962.985,195840.933,58,129.3,58.5,62.9,57.8,63.5,51.8,41.1,41.6,39.1,31.3,6.91,1.68,0.08,0.1,6.71,4.57,2.18,4.8,0.0005,4.16,3.65,3.31,0.36,0.3,5.61,2.05,6.3,1.24,0
1962-08-01,387694.234,355436.929,241929.574,82.8,140.5,69.8,63.4,103.5,93.9,61,57.2,63.3,67.5,52.4,5.37,3.16,0.25,0.25,2.25,5.7,1.16,0.49,0,2.85,2.19,0.14,0.51,0.13,2.2,2.55,0.68,1.77,0
1962-09-01,574318.33,566657.045,198674.111,57.6,105.2,52.9,43.6,60.8,47.8,33.5,33.3,38.4,41.9,51,7.43,7.04,4.1,0.39,3.57,5.01,5.16,1.03,0.19,4.16,11.94,0.19,3.79,0.71,3.75,4.62,2.83,2.89,0
1962-10-01,393841.678,383682.1,187248.609,49.2,92.5,49.4,46,70,62,35.7,42.1,39.7,42.7,59.1,1.46,1.9,6.61,0.0005,2.02,8,3.23,0.36,0.0005,0.31,2.46,0.39,1.6,1.58,1.52,1.72,0.63,0.83,0.38
1962-11-01,261885.781,251962.515,125240.17,28.4,51.6,28.3,23.9,31.8,28.5,20.6,24.2,29.9,22.6,29.2,3.21,2.98,2.55,0.03,3.78,2.4,0.89,0.42,0,6.7,1.96,0.78,1.64,0.85,3.97,2.16,0.2,1,0
1962-12-01,275390.177,270549.72,127906.973,84.4,143.3,105.6,81.3,111.6,88.1,62.3,79,120.5,70.7,22.9,2.53,1.36,1.46,0.48,2.51,1.6,0.84,0.73,0.08,2.44,1.52,0.11,0.41,1.23,2.65,1.31,0.38,0.43,0.04
1963-01-01,234015.823,224617.842,115749.968,55.7,73.6,85.7,63,89.7,58.5,101,87.8,80.1,76.5,68.6,7.42,1.11,0.77,0.55,2.25,0.82,0.0005,0.5,0.01,2.1,0.92,0.12,0.83,10.06,5.67,0.79,0.0005,0.65,3
1963-02-01,195025.276,182696.896,127574.229,56.1,59.1,37,46.3,65,61.6,12.4,17.3,30.3,1.8,25.4,5.03,1.35,0.31,1.16,1.67,0.83,0.24,1.52,0.65,3.37,0.24,0.11,1.25,6.5,4.43,null,1.14,0.36,5.36
1963-03-01,300522.477,312393.956,102450.347,33,41.5,16.8,14,42.2,32.5,11.7,13.7,79.6,20.4,10.6,1.91,4.28,0.31,0.3,9.66,3.54,1.89,0.02,0.18,3.88,1.99,0.83,0.77,7.76,4.75,4.07,0.1,0.49,3.36
1963-04-01,221563.832,214326.179,80908.381,12.5,17.3,15,8.1,12.4,22.4,9.4,12,16,8.3,7.7,1.26,4.27,3.51,0.33,3.56,2.53,1,0,0.01,0.56,1.45,0,0.38,7.09,4.07,5.07,0.16,0.0005,2.69
1963-05-01,174446.995,150450.093,119343.962,76.8,110.9,106.5,90.5,75.6,71.5,67.7,72.1,91.7,79.2,120,1.49,1.38,3.96,0.0005,4.36,2.2,4.36,2.52,0.0005,3.54,3.83,0.93,0.02,2.93,4.27,1.73,4.39,0.0005,0.25
1963-06-01,251967.457,249200.361,125778.362,73.6,80.8,72.8,95.3,65.9,71.6,80.6,59.5,70.7,63.3,45.9,8.11,3.29,1.42,0,2.38,2.95,1.36,1.58,0.16,8.11,2.93,1.33,0,0.82,6.34,1.76,2.8,0,0.49
1963-07-01,451380.139,446555.418,202444.288,104.5,173.5,80.4,92,105.1,111.4,46.3,56.5,57.4,55,74,4.77,3.27,1.36,0.03,4.45,3.23,1.7,2.13,0,1.75,2.63,0.99,0.92,0.0005,3.21,8.22,1.95,2.88,0
1963-08-01,488164.344,457306.852,223922.766,77.8,152.5,71.3,69.7,76.2,69.7,41.4,41.7,77.8,48.1,56.8,3.82,1.07,0.04,2.68,2.16,1.35,0.98,4.9,0,3.16,1.89,2.16,2.18,0.2,2.16,1.28,1.69,4.03,0
1963-09-01,412099.82,377362.391,151792.789,60.5,115.4,79.5,56.7,73.4,71.2,26.2,23.5,49.6,31.4,88.7,10.5,2.39,0.95,0.0005,2.9,2.3,2.06,1.2,1.12,3.84,1.85,1.39,1.24,0.93,6.1,0.02,4.09,1.28,1.93
1963-10-01,397771.961,377375.121,134490.681,81.3,89.2,43.4,45.2,69.6,81.2,38.9,33.4,12.7,59.9,55.7,0.06,0.28,0,1.46,0.05,0.34,2.17,0.7,0.01,null,0.05,0.16,1.25,1.85,0.26,0,0.24,1.03,0.55
1963-11-01,268852.256,254091.304,149400.116,58.2,110.5,66.9,51.8,59.2,47,37,41.8,22.2,46.4,6.6,3.65,3.9,3.99,0.73,2.38,1.96,2,0,0.28,6.79,1.65,0.42,0.57,9.55,5.17,3.77,0.44,0.64,4.51
1963-12-01,279256.65,265969.073,109435.391,66.4,102.4,85.4,56.6,61.6,77.7,45.7,21,41.7,91,27.7,2.41,5.25,1.52,0.0005,1.47,2.12,0.26,0.15,0,2.99,1.03,0.26,0.11,0.81,3.95,4.67,0.11,0.05,0
1964-01-01,233083.178,229045.269,70950.886,31,26.2,20.1,28.5,35.6,37.1,36.6,36.6,22.4,43.2,38.7,9.18,1.35,2.96,0.22,3.6,0.47,0.71,0.03,0.03,4.19,0.51,0.01,0.18,4.49,7.26,4.24,0.08,0.0005,2.5
1964-02-01,216833.522,226255.27,79455.079,8.6,14.5,10.3,13.2,6.7,7.9,5.6,22.1,14.2,48.8,15.7,7.77,2.24,1.57,0.01,3.56,3.06,2.97,1.46,0.02,4.84,2.81,0.26,0.0005,0.06,5.43,2.86,0.85,0.44,0
1964-03-01,269046.988,276504.484,82133.954,45,46.7,36.6,45.5,49.6,52.3,75.7,47.5,65.8,64.8,36.1,null,3.99,3.28,0.37,5.07,5.69,0.36,null,0.03,1.91,3.53,0.05,0.8,3.5,9.81,4.28,0.29,0.45,2.42
1964-04-01,206006.415,178726.928,98242.165,89.6,164.6,140,104.8,103.8,79.5,148.3,136.2,45.4,127.3,126.9,5.44,8.42,1.76,0.1,3.88,5.11,0.25,0.55,0.01,5.06,5.32,1.17,0.99,1.49,5.39,10.59,0.0005,0.42,1.15
1964-05-01,137409.15,123973.05,121773.431,52.8,96.5,47.9,41.2,62.5,56.9,42.5,36.5,56.7,46.2,30,3.9,0.99,2.86,0.0005,2.09,6.13,4.36,0.68,0.01,2.28,2.28,4.84,0.27,null,3.46,2.19,0.85,0.14,0.4
1964-06-01,195161.151,180392.112,168020.93,80.6,157.2,89.4,61.5,84.6,73.7,37.7,39,41.2,46.3,60.8,6.78,0.6,1.68,0,0.79,0.87,0.61,0.28,0,1.59,8.71,0.02,0.09,0.96,3.16,1.9,2.77,0,0.13
1964-07-01,814689.463,703681.869,463488.996,148.4,398.5,150.7,100.4,177.2,148.6,47.8,68.7,49.9,56.3,78.5,11.25,null,0.07,0.6,7.93,0.93,0.29,2.8,0.68,6.64,1.15,0.95,1.87,0.1,8.73,2.04,0.43,1.66,0
1964-08-01,786294.223,790245.682,375906.484,49.4,142.9,50.4,35.6,64.1,51.3,17.9,20,38.4,20.9,31.2,11.5,2.35,3.23,1.29,6.83,8.45,1.42,1.27,0.14,6.1,6.58,1.1,0.94,0.3,11.13,3.89,1.22,4.42,0.03
1964-09-01,1020086.254,969631.734,444300.496,135.4,227.8,117.2,98.7,122.5,136.7,74.7,87.8,99.7,89.2,83.3,12.34,5.07,5.44,1.8,4.48,4.33,5.09,1.02,0,3.46,1.33,null,0.81,0.12,1.66,4.77,2.31,2.76,0
1964-10-01,1246471.723,1079792.707,456322.973,117.1,200.8,96.4,94.5,123.6,123.4,54.3,66.5,120.5,81.4,90,2.39,1.23,0.33,0.17,6.69,0.5,0.5,0.0005,0.02,4.27,1.71,null,0,2.35,9.31,1.42,0.03,0.53,1.09
1964-11-01,570195.225,535712.786,244114.293,15,24.1,32.8,16.1,12.7,14.2,5,1.8,11.9,16.7,3.8,2.04,2.7,5.44,0.35,2.32,5.96,3.99,1.55,0.1,1.84,4.51,0.16,0.56,8.61,2.17,4.41,1.26,1.37,2.17
1964-12-01,268204.557,243638.081,167225.867,59.9,91.9,68.5,38.1,55.2,54.6,42.4,33.6,28.7,41.1,51.9,10,7.62,0.69,1.09,3.57,1.25,0.57,0.45,0.01,3.24,1.24,null,1.25,19.54,7.04,8.45,0.47,0.37,6.1
1965-01-01,238896.954,231717.4,156820.6,0,0,0,0,0,1,0,0,0,0,4.1,0.92,4.72,3.08,1.22,2.3,1.94,0.39,0.13,0.09,1.74,2.39,null,1.35,5.84,1.78,3.86,0.0005,0.7,0.79
1965-02-01,230260.561,227869.9,128070.854,2.3,4,1.3,0,1.3,0,6.5,6.1,1.6,0.8,0.5,5.23,8.5,4.54,0.91,2.24,4.61,0.41,0.3,0,1.89,1.59,null,1.23,1.86,5.05,6.78,0.6,0.78,0.33
1965-03-01,281410.462,283332.4,130429.279,1.5,7.4,2.6,0,4.1,1.5,0,0,2,0.3,1.8,4.93,5.85,1.02,1.39,6.98,3.27,1,0.73,0.05,4.33,1.64,null,1.06,2.5,6.9,6.63,0.33,0.03,1.63
1965-04-01,229546.823,213574.8,166071.052,21.6,45.7,22.9,17,33.5,28.7,49.5,31.5,41.9,36.4,10.6,2.61,0.99,1.56,1.35,3.78,1.1,1.62,1.2,1.27,2.07,9.08,null,1.97,4.32,5.23,1.47,1.07,0.61,6.32
1965-05-01,209013.719,175585.4,177457.355,50.6,85.8,47.5,41.2,53.1,57.9,35,31.1,24.1,38.4,35.6,0.54,4.96,8.51,0.16,3.24,8.75,4.75,2.62,0,0.85,4.91,null,2.02,0.69,0.92,3.29,2.95,0.44,0.07
1965-06-01,200000.224,162812.3,164522.485,24.6,40.6,37.6,27.2,23.9,19.3,30.3,28.8,37.3,30.2,28.2,15.31,4.25,1.6,0.91,2.72,4.02,5.23,1.7,0.0005,4.4,3.52,5.67,0.87,0.54,9.57,1.24,2.91,0.77,0
1965-07-01,211172.929,178727.2,174367.472,43,79,40.5,27,43.4,43.7,23.1,25.9,24.3,23.7,23.4,8.24,3.14,0.25,0.16,4.04,1.06,0.43,2.2,0.21,3.81,1.84,3.09,1.3,0.7,5.15,1.45,3.61,3.17,0.02
1965-08-01,227454.949,182864.9,167027.792,108.4,171,115.7,112.3,124.5,116.8,74.1,53.7,65.9,73.8,77.3,7.28,5.13,1.42,0.18,3.49,1.48,1.7,1.43,0.27,null,2.92,null,2,1.31,3.86,1.46,1.67,1.28,0
1965-09-01,198366.934,178662.8,145620.211,57.2,94.9,43.4,37.5,76.4,53.8,25,16.5,41.7,24.9,17.8,7.88,8.15,4.88,0.6,4.76,6.65,8.2,1.33,0,2.06,7.16,null,1.71,0.12,2.85,6.82,2.5,2.37,0.69
1965-10-01,269434.6,256799.9,132836.711,86.6,92.8,75,68.9,106.2,86.6,60.8,55.5,70,63.7,69.9,2.39,0.23,2.36,0.2,2.08,1,4.27,0.35,0,1.12,0.43,null,1.21,0.56,2.35,0.27,0.53,0.4,0
1965-11-01,231099.587,227813.9,151259.476,73.7,121.2,56.9,55.7,65.8,71.4,39.6,36.6,38.1,38.6,33.2,2.63,2.3,3.53,0.92,1.6,1.03,0.0005,0,0.86,0.51,0.77,0.03,2.04,12.99,2.72,1.16,0.11,0.22,13.78
1965-12-01,226547.916,232687.2,112016.467,53.6,76,43.4,79.1,69,61.7,35.1,34.8,90.8,46.9,17.8,5.46,2.57,2.96,3.19,0.16,0.86,1.4,0.51,0.57,0.6,3.51,0.57,3.23,6.4,1.48,2.19,0.46,1.42,5.95
1966-01-01,266574.877,273133.157,49799.956,32.3,23.7,20.8,24.7,38.6,31.8,18.6,24.6,26.7,25.7,16,6.05,3.01,1.29,0.35,3.98,2.1,0.29,0.42,0.08,null,0.84,0.49,0.41,1.04,6.74,2.32,0.59,0.47,1.56
1966-02-01,249643.028,248897.4,94229.879,42.7,87.9,68.2,43.2,40.8,41.9,29.5,34.3,29,49.6,44.1,5.47,5.41,2.43,0.95,4.23,6.19,2,0.54,0.04,3.85,4.14,0.4,1.25,3.06,4.76,9.12,0.0005,0.4,1.22
1966-03-01,320324.351,295045.728,141069.552,127.7,150,115,95.5,137.3,125.5,103.6,81,100.4,99.1,83.8,3.08,0.39,1.71,0.34,2.52,1.23,1.23,0,0,1.33,1.88,0.0005,0.02,1,3,0.56,0.02,0.03,0.11
1966-04-01,210795.296,194589.403,96346.174,13.7,29.5,13.6,12.5,18.8,13.7,6.9,8.2,9.4,8.4,6.3,2.3,11.99,9.29,0.0005,3.56,4.23,1.73,0.08,0.0005,1.91,3.45,0.77,0.47,1.53,2.68,4.79,0.98,0.28,0
1966-05-01,191599.687,174225.6,156189.36,74.2,128,76.7,77.3,105.2,90.4,56.2,74.7,69.1,60.4,49.5,11.04,7.89,2.62,0.0005,1.39,5.23,0.12,1.12,0,3.34,3.21,0.18,0.83,0.54,3.49,4.88,1.28,0,0.51
1966-06-01,208396.518,186413.801,159798.115,49.1,100.6,49.7,54.6,49.1,55.1,52.2,35.1,32.2,49.7,31.1,4.21,0.3,3.01,0.22,2.04,0.92,1.36,1.36,0.0005,3.27,0.9,0.34,0.1,0.28,4.52,0.25,4.8,0.78,0
1966-07-01,228484.618,200600.041,157642.56,104.1,190.2,86,88.6,104.7,103.4,49.9,42.5,41.5,53.1,43.4,10.47,3.81,2.79,0.09,6.37,3.39,2.48,3.54,0.42,6.55,4.28,1.29,0.97,0.0005,3.32,3.53,0.5,2.24,0.0005
1966-08-01,418937.976,346606.662,260105.185,96.1,154.5,102.2,81,97.6,90.4,66.4,67.4,56.6,71.5,65.8,5.25,6.7,7.05,2.17,4.81,4.8,4.81,3.82,0.1,2.92,5.29,1.52,1.26,0.0005,5.84,3.74,4.52,2.06,0
1966-09-01,385647.359,328414.037,265529.238,97.9,154,110.1,91,101.1,97.3,46.9,46.7,60.3,58.4,53,5.66,2.11,2.39,2,4.53,0.71,2.22,0.18,0.05,4.47,2.23,1.91,0.98,0.42,3.87,1.93,3.01,2.04,0.07
1966-10-01,369157.759,305771.487,218381.321,63.3,110.9,78.3,54.1,73.9,64,61.7,62.5,76.7,56.8,,3.99,2.69,0.56,0.25,3.17,1.61,0.62,0.0005,0,4.7,1.89,0.45,0.55,0,2.72,3.68,0.03,0.55,0.03
1966-11-01,564122.28,559742.598,217664.438,135.5,136.7,118.1,77.2,144,116.3,97.5,86.6,60.9,83.6,,1.16,1.3,0.14,0.38,3.39,1.49,0.17,0.03,0.02,1.61,2.36,0.0005,1.45,7.12,1.59,1.03,0.23,0.52,5.3
1966-12-01,425609.461,366973.658,189570.455,164,152.3,116.7,104.7,106.8,143.3,90.4,98.8,52.6,105.9,,2.73,4.36,0.73,0.52,2.93,null,0.39,0.03,0.08,3.55,2.35,0.16,2.71,10.87,3.37,7.33,0.04,0.59,10.03
1967-01-01,283508.516,275541.612,71574.506,24,41.7,41.4,34.3,38.7,39.9,41.1,36.8,75.2,63.7,,4.5,1.97,0.24,0.25,1.41,0.98,0.11,0,0.0005,1.89,1.13,0.16,0.81,10.49,3.32,1.23,0,0.01,5.67
1967-02-01,274895.738,267227.396,114727.308,4.1,23.8,4.1,16.5,4.3,2.3,1.3,1,14.8,0,,5.69,2.22,0.68,0,3.44,1.5,0.08,0.32,0,2.97,0.95,0.0005,0.09,0.57,4.37,2.22,0.01,0.0005,0.3
1967-03-01,332146.158,328222.064,101501.028,10.9,18.6,24.2,20.3,18.7,13.5,27.2,34.8,19.5,28.4,,0.94,2.74,1.45,0.43,2.34,2.35,1.14,0.13,0.0005,2.45,1.79,0.16,0.19,11.53,2.42,2.81,0.42,0.47,3.91
1967-04-01,230845.499,213499.684,109755.839,0.8,2.3,1.8,0.8,8.4,0.5,0,0,0,0,,2.06,4.16,3.32,0.08,2.26,7.86,1.7,0.29,0.1,1.43,6.33,0.01,0.38,12.1,4.07,5.07,0.08,0.01,6.31
1967-05-01,199885.618,183333.111,150456.958,14.7,39.1,21.3,19.8,30.8,20.1,11.2,9.7,18,12,,2.78,7.97,4.5,0.05,5.63,5.94,1.53,0.73,0,3.8,3.24,1.9,1.08,1.61,5.27,7.9,0.27,0.37,0.0005
1967-06-01,111820.456,81353.187,79379.062,19.5,19.8,24.9,24.2,24.3,21.1,32.4,37.6,32.3,28.8,,6.75,3.73,1.99,0.47,6.43,4.24,1.12,0.87,0.02,1.56,7.09,1.19,0.45,0.4,5.11,2.47,4.2,1.79,0.01
1967-07-01,150469.66,135354.482,125073.804,22.8,65.6,19.3,19,36.7,23.9,3.3,1.3,12.5,5.7,,7.79,5.6,3.6,0.99,4.17,5.28,2.46,5.96,0.13,5.02,2.65,3.46,1.62,0.45,4.09,1.45,4.02,5.46,0
1967-08-01,177672.809,172414.936,112556.907,91,130.6,71.8,71.6,86.7,95.3,40.7,42.2,55.7,45.8,,9.36,1.07,0.23,0.02,5.98,2.75,1,1.94,0,5.58,2.24,1.14,3.19,0.53,6.55,4.57,2.19,4.08,0
1967-09-01,216343.72,209288.653,135858.316,35,73,29.3,25.4,33,31,29.2,25.8,34.8,29.2,,1.91,5.03,6.27,0.13,1.22,3.51,2.17,2.12,0.42,3.23,2.44,1.02,0.63,0.89,3.05,0.61,1.24,3.46,0.37
1967-10-01,265313.436,257392.954,137607.473,31.4,38.1,43.8,31.9,32.1,32,31.8,32.5,28.9,32,,1.04,3.5,8.97,0.67,1.96,7.34,1.01,0,0,1.42,9.6,0.7,0.17,0.1,0.88,1.91,0.06,0.2,0
1967-11-01,253015.375,250534.747,130832.99,16,15.5,15.7,8.4,21.3,15.7,4.1,2.3,10.7,3.9,,0.83,2.26,2.38,1.27,1.75,1.01,0.12,0.1,0.68,2.38,1.07,0.74,0.22,2.61,5.33,2.39,0.07,0.53,5.46
1967-12-01,233039.724,232377.875,78155.785,3.3,10.4,2,1.8,4.9,7.1,0.8,0,2.6,0,,5.11,8.13,4,3.98,null,5.58,0.83,null,0.04,6.01,2.98,0.26,3.68,4.36,3.65,7.25,0.97,1.24,1.02
1968-01-01,218356.864,213228.6,47558.92,69,93.7,108.6,68,49.8,53.8,37.6,42,54.3,47.5,,2.08,7.13,3.75,0.19,3.16,3.99,1.34,1.17,0,3.1,3.76,0.1,0.15,3.89,6.47,6.82,1.41,0.03,1.68
1968-02-01,170033.8,165119.7,106978.83,0,16.5,0,0,0,0,0,0,0,0,,3.41,1.92,2.12,1.2,0.43,1.32,1.21,0.57,1.16,1.19,3.39,0.1,0.82,3.85,1.17,2.51,0.43,0.26,1.34
1968-03-01,76230.136,83630.7,75305.488,72.3,44.4,26.1,32.8,47.1,29,45.5,47.5,40.1,34.3,,1.53,5.43,4.12,1.04,3.87,7.71,0.91,1.07,0.0005,4.24,4.86,0.37,0.55,2.17,4.07,5.21,1.36,0.6,3.94
1968-04-01,113796.674,112685,102098.089,72.3,93.5,40.1,58,77.1,79.2,53.4,54.7,45.6,53.4,,0.95,3.7,2.66,0.0005,3.86,4.99,1.16,0.52,0.09,3.62,2.67,0.69,0.65,0.94,4.51,6.66,0.0005,0.33,0.98
1968-05-01,198892.54,153950.3,47187.207,255.5,438.8,191,150.6,247.1,257.8,109.8,133.9,144.2,154.8,,6.48,8.88,14.12,0.0005,1.95,11.03,8.38,1.03,0,3.31,4.59,0.56,0.63,0.88,5.17,7.23,null,0.36,0
1968-06-01,206232.499,129754.2,39203.984,44,118.2,58.4,37.4,53.1,51.8,19.4,20.2,24.6,22,,4.9,4.28,5.39,0,2.94,3.52,2.19,0.14,0.26,3.58,5.7,3.29,0.12,null,8.07,1.55,0.03,0.05,0
1968-07-01,90911.208,53627.3,18828.828,66.1,95.5,64.8,46.9,55.9,62.7,47.8,52.9,31.6,48,,7.75,2.73,1.91,1.7,1.8,3.09,4.2,1.87,0.04,2.79,2.4,2.97,1.34,0.22,10.07,1.47,2.89,1.98,0.04
1968-08-01,330779.14,232255.1,74370.955,123.4,229.6,100.5,80.2,117.2,119.1,46.5,45.8,62.9,53.7,,7.58,1.96,1.45,0.59,2.14,1.92,1.54,1.93,0.02,3.06,3.5,1.15,4.95,0.57,null,1.76,1.77,4.59,0.11
1968-09-01,222915.08,203184.5,87048.845,11.9,39,19.6,16.8,22.4,17.8,11.8,10.7,17.3,13.5,,4.28,3.85,4.57,0,1.99,3.9,0.38,0.69,0,0.85,2.95,0.74,0.22,0.03,1.36,7.23,0.11,0.82,0
1968-10-01,289679.751,255742.8,106900.668,112.1,174.5,71.2,64.5,108,100.1,46,47.5,54.4,54.6,,2.35,2.82,0.78,0.35,2.79,2.66,2.83,null,0.05,2.89,3.45,0.28,0.76,null,2.87,3.28,0.39,0.18,1.09
1968-11-01,262265.193,254787.2,98024.566,81.5,116.3,70.4,44,118.8,95,58.4,38.8,41.2,55.9,,2.26,3.51,5.19,0.91,2.07,6.83,3.68,0.45,0,3.18,7.79,0.28,0.59,5.9,4.2,5.58,0.46,0.53,0.87
1968-12-01,245595.538,245737.8,171470.704,90.8,130.3,100.8,82.8,106,88.1,90.4,94.7,84.8,97,,2.06,5.8,1.85,0.69,2.7,7.74,0.64,0.14,0.0005,2.37,2.71,0.3,1.09,10.01,3.88,6.28,0.13,0.23,2.13
1969-01-01,283247.996,293730.099,139188.073,16.8,47.3,29.4,24.5,16.5,14.5,19.7,12.5,24.4,24.5,,2.04,3.76,0.44,1.37,2.39,4.69,0.03,0.0005,0.3,2.92,2.77,0.0005,3.36,22.34,4.07,3.43,0,0.07,25.76
1969-02-01,247536.041,246285.164,152817.954,75,64.5,47.2,49.5,65,52.8,73.2,66.8,99.8,61.2,,3.85,7.6,2.52,0.78,4.03,2.59,1.93,0.78,1.87,4.37,1.28,0.11,1.72,14.21,2.82,6,0.66,0.08,15.03
1969-03-01,187724.524,180290.424,133193.96,134.2,201.9,107.9,105.6,177.9,134.1,121.5,108.7,79.8,107.7,,6.72,6.15,4.17,0.56,4.7,2.6,1.43,0.44,0.25,3.96,3.3,0.87,0.95,3.36,4.78,3.26,0.87,0.58,0.43
1969-04-01,208566.261,156889.339,61056.74,158.2,148.1,115.5,112.4,122.6,128.5,111.7,138.2,100.1,112,,1,2.59,2.63,0.03,3.17,3.41,1.24,0.82,0,2.33,3.04,1.6,0.05,3.78,7.82,5.71,0.77,0.2,1.75
1969-05-01,87092.506,72598.304,25818.688,95.5,134.2,114.7,75.1,100.4,85.6,54.1,49,64,55,,5.83,7.39,5.52,0.26,1.89,3.41,12.05,3.4,0.03,3.39,1.97,2.56,0.56,0.61,3.22,2.41,4.27,1.3,0.04
1969-06-01,331924.724,214600.083,42056.609,107.1,102.5,63.5,88.9,107.4,91.4,80.3,75,61.7,100.3,,7.21,5.46,1.48,0,3.96,10.35,2.04,2.32,0.1,4.28,6.91,3.38,0.36,1.62,2.29,3.62,3.13,0.05,0
1969-07-01,339370.122,206904.557,59818.7,91.4,186.8,117.7,76.9,89.1,99.1,76.1,72.5,69.1,68.8,,9.68,2.73,0.08,0.28,4.21,2.05,1.3,3.42,0.5,4.88,0.83,1.86,2.81,0.15,2.77,2.89,4.02,1.85,0.13
1969-08-01,335184.174,283726.709,43622.5,52.3,70.1,44.4,40.4,54.9,45.7,47.5,46,58.7,53.5,,6.55,1.37,1.62,0.14,4.15,1.57,5.93,4.59,0,6.5,1.66,1.6,3.46,0.01,5.81,1.95,0.62,3.53,0
1969-09-01,373628.836,294250.287,50108.219,90.3,155.6,83.4,74.3,87.2,77.7,48.7,50.9,39.7,43.7,,7.33,1.42,1.49,2.11,2.59,2.41,2.33,2.92,0,3.57,3.36,2.47,0.2,0.08,4.36,2.59,3.02,1.19,0.0005
1969-10-01,292576.537,271407.46,51776.855,88.4,116.9,74.9,80.2,97.3,83.3,67.9,58.7,89.6,53.1,,0.95,4.22,4.39,0.08,2.36,7.32,2.07,2.01,0,2.38,6.6,2.02,1.97,4.64,0.22,1.71,3.69,0.8,0
1969-11-01,551288.604,517361.601,112831.186,75.1,120.6,49.8,47.5,75.6,67.1,40.7,37.3,28.4,28.8,,2.38,7.22,1.84,0.65,1.39,1.45,0.07,0.45,0.37,2.09,0.72,0.28,0.72,1.66,1.33,6.85,0.42,0.25,2.49
