,January,February,March,April,May,June,July,August,September,October,November,December,Latitude,Longitude
AU_73100,0.11851851851851862,0.2276388888888889,0.15968749999999998,0.03409090909090909,0.39444444444444443,-0.33469387755102026,-0.046428571428571326,0.3416666666666662,0.11923076923076928,0.4717607973421928,0.4607692307692307,0.3891779788838612,-33.91,148.44
AU_61007,0.85625,0.44749999999999995,-0.147826086956522,-0.06538461538461536,0.08333333333333333,-0.0695652173913044,-0.10370370370370387,0.10370370370370373,0.10799999999999997,0.28666666666666674,-0.004450895016932754,0.18421052631578946,-32.03,150.58
AU_61016,0.1991666666666667,0.32834821428571426,-0.0287593984962406,-0.05635525260625502,-0.013075060532687663,-0.12472222222222223,-0.07801932367149768,0.07209302325581393,-0.020483870967742082,0.18963278101209136,-0.01220238095238093,0.24105326876513322,-32.39,150.69
AU_61026,0.12400000000000005,0.2896551724137928,-0.037037037037037035,-0.08500000000000002,0.018518518518518517,-0.1749999999999999,-0.2580729166666667,-0.028311965811965812,-0.02448637316561847,0.16782352941176476,-0.16125000000000006,0.04629464285714288,-32.01,151.0
AU_61051,0.6931372549019608,0.19999999999999993,-0.048648648648648665,-0.11785714285714276,-0.011979913916786232,-0.21451612903225803,-0.022222222222222143,0.1735632183908046,-0.1549019607843137,0.2133333333333333,-0.02631578947368421,0.24035087719298245,-31.77,150.84
AU_61065,1.4058823529411768,1.0272727272727271,-0.09166666666666679,-0.5714285714285714,0.4829268292682926,0.1111111111111111,-0.36999999999999955,0.8472222222222223,0.13571428571428562,0.45624999999999993,-0.18333333333333326,0.7576923076923076,-32.14,150.73
AU_61073,0.13823529411764712,0.17829301075268816,-0.2527863777089784,0.092875,-0.029195804195804205,-0.19090909090909083,-0.18148148148148144,0.06372180451127818,-0.014285714285714235,0.264,0.06216216216216211,0.37846153846153846,-32.08,150.37
AU_61097,0.31463414634146336,0.23999999999999985,0.06998123827392119,-0.13147388569866006,0.14115384615384613,-0.28854477611940305,-0.26000000000000006,-0.03076923076923066,0.04613526570048324,0.41403508771929826,0.0259259259259259,-0.129166666666667,-31.92,151.24
AU_61100,0.04105263157894749,-0.01042780748663098,-0.18999999999999956,-0.15968750000000007,-0.13245614035087716,-0.18304597701149428,-0.25872972972972974,-0.007354925775978415,-0.1314929577464789,-0.07931034482758612,-0.22791429427629606,0.18297101449275366,-32.77,151.09
AU_62032,0.7250000000000002,0.3117647058823529,-0.17142857142857143,-0.06470588235294115,0.0,-0.16031746031746028,-0.0696903460837887,0.11429378531073445,0.12133468149646096,0.28746770025839796,-0.07428571428571427,0.10869565217391304,-32.36,149.95
AU_62036,0.4852941176470588,0.3357142857142857,0.11176470588235293,0.035593220338983045,0.08113207547169812,-0.40000000000000013,-0.30000000000000004,0.29999999999999916,0.1731746031746032,0.5010204081632652,0.08928571428571441,0.053846153846152975,-32.28,149.74
AU_82001,0.06801948051948051,-0.06528688524590157,-0.047062146892655365,0.17221491228070174,0.17083333333333334,-0.1477226720647773,0.43771551724137936,0.5,0.09443597560975608,0.28297101449275364,0.16961538461538478,0.17977272727272792,-36.37,146.71
AU_82009,-0.16533333333333336,0.014285714285714297,0.10490430622009571,0.3314393939393939,-0.1377155172413793,-0.8862781954887218,-0.06892857142857144,0.027083333333333275,0.00857142857142849,0.46499999999999986,0.35428571428571426,0.03571428571428571,-36.61,146.54
AU_82015,0.011627906976744186,0.10384615384615395,0.08849206349206352,0.12666666666666662,0.10000000000000003,-0.2777777777777778,0.12922427035330258,0.24150311706303393,0.12034482758620685,0.2644736842105263,0.2616326530612246,0.13879928315412188,-36.31,146.52
AU_82029,0.07318007662835248,0.05000000000000002,-0.013392857142857165,0.2676007326007326,-0.20971786833855785,-0.4755000000000001,0.0720779220779221,0.36000000000000015,0.2789473684210525,0.20192307692307693,0.31754385964912285,0.03461538461538456,-36.46,146.43
AU_82032,0.038421052631579036,0.11956521739130435,0.09642857142857153,0.2869565217391305,0.11225961538461557,-0.9166666666666666,0.14009740259740244,0.39000000000000057,0.16742424242424245,0.27430182599355524,0.23076923076923084,0.024999999999999974,-36.58,146.38
