,January,February,March,April,May,June,July,August,September,October,November,December,Latitude,Longitude
AU_73023,-0.48333333333333306,-0.24705882352941194,0.3297348484848486,-0.2000000000000001,-0.35789473684210527,0.8707352941176469,-0.06000000000000038,-0.40882352941176464,-1.0434782608695652,-0.7719607843137255,-0.23888888888888893,0.019999999999999928,-34.61,148.79
AU_73100,-0.8166666666666664,0.0,0.5240274599542334,-0.3266666666666667,-0.35060728744939285,0.8176470588235293,0.15714285714285733,-0.22081818181818164,-0.6181818181818183,-0.7903225806451613,0.25714285714285745,0.6666666666666666,-33.91,148.44
AU_61007,-1.6000000000000005,-0.1637837837837835,0.20909090909090935,0.0,-0.07690417690417695,0.40228040540540544,0.6133040935672516,0.1809523809523808,-0.02153846153846159,-0.1294117647058823,0.3631578947368424,0.6588516746411485,-32.03,150.58
AU_61016,-1.3495726495726494,0.10882352941176471,0.596551724137931,0.18181818181818182,-0.28774390243902453,0.5542483660130719,0.40263157894736856,0.01818885448916424,0.10212201591511938,-0.28,0.6205,0.7934782608695657,-32.39,150.69
AU_61026,-1.291666666666667,0.23013888888888887,0.44210526315789467,0.16060606060606064,-0.1,0.5,0.5548387096774194,0.3272727272727274,0.06491228070175416,-0.3047619047619047,1.1071428571428572,0.2899999999999999,-32.01,151.0
AU_61051,-1.6900000000000006,-0.20689655172413793,0.4384615384615387,0.014999999999999857,-0.28999999999999987,0.4095238095238094,0.3624999999999998,0.23333333333333342,-0.11764705882352941,-0.26190476190476186,0.5062499999999996,1.1000000000000005,-31.77,150.84
AU_61065,-1.5263157894736843,0.08333333333333333,0.04117647058823546,0.12258064516129023,-0.14285714285714285,0.38666666666666666,0.527272727272727,0.16923076923076918,-0.032558139534883686,-0.08181818181818233,0.625,0.8275862068965516,-32.14,150.73
AU_61073,-1.7037037037037037,-0.1312500000000001,0.2166666666666662,0.05317073170731706,-0.31532967032967035,0.444847972972973,0.5459259259259259,0.07407407407407407,-0.125,-0.3899378881987578,0.56,0.8228571428571427,-32.08,150.37
AU_61097,-1.6266666666666665,0.5176470588235292,0.0117647058823529,0.21600000000000022,-0.39642857142857146,0.25853658536585367,0.3999999999999999,0.25157819225251077,-0.16753246753246737,0.015384615384615604,0.4833333333333331,0.7371428571428571,-31.92,151.24
AU_61100,-1.8458333333333337,0.2528333333333333,-0.5110909090909093,0.008051529790660213,-0.3538461538461538,0.2729729729729729,0.26172972972972974,0.05151515151515152,0.09655172413793142,-0.2973684210526316,0.39047619047619025,0.46000000000000013,-32.77,151.09
AU_62032,-1.2690476190476185,-0.07500000000000018,0.0,0.07317073170731707,-0.18000000000000008,0.6780487804878048,0.30666666666666675,0.02,-0.09999999999999992,-0.2864035087719298,0.8299999999999997,1.0806766917293231,-32.36,149.95
AU_62036,-0.8400000000000005,-1.2307692307692308,-0.017857142857142856,0.020416666666666722,-0.21428571428571427,0.555050505050505,0.645806451612903,0.042577030812324966,-0.3733716475095784,-0.1011111111111112,0.08251231527093592,0.5272604588394063,-32.28,149.74
AU_82001,-0.24799999999999997,0.17142857142857185,-0.05128205128205128,-0.6869565217391305,-0.5499999999999999,0.5,0.35714285714285715,-0.8700000000000003,-0.6909090909090917,-0.6800000000000003,0.4281250000000001,0.2971428571428571,-36.37,146.71
AU_82009,0.028571428571427963,0.10000000000000017,0.03529411764705849,-0.5333333333333335,-0.8105263157894737,0.34666666666666685,0.10303030303030278,-1.328571428571428,-0.5999999999999998,-0.5935483870967742,0.08333333333333333,0.4488372093023257,-36.61,146.54
AU_82015,-0.30000000000000027,0.22608695652173913,-0.25882352941176484,-0.4,-0.2545454545454546,0.35555555555555585,0.15714285714285633,-0.46666666666666645,-0.5,-0.6149999999999999,0.14358974358974344,0.10434782608695646,-36.31,146.52
AU_82029,-0.3692307692307693,0.18522727272727274,0.0838709677419353,-0.38,-0.2151515151515152,0.29611111111111116,0.08286764705882355,-0.713157894736842,-0.288235294117647,-0.5119999999999999,0.2512820512820512,0.1464285714285714,-36.46,146.43
AU_82032,-0.24625668449197863,0.18333333333333335,0.20000000000000018,-0.575735294117647,-0.8,0.36571428571428577,-0.013333333333333523,-0.4596153846153844,-0.19999999999999996,-0.4571428571428572,0.45173076923076944,0.1434285714285714,-36.58,146.38
AU_83010,0.025000000000000355,0.3851851851851852,0.3200000000000003,-0.5714285714285714,-0.7176470588235295,0.3076923076923077,0.2222222222222222,-1.3941176470588237,-0.3866666666666666,-0.5999999999999996,0.31764705882352956,0.44999999999999996,-36.63,146.86
AU_83032,-0.13513513513513514,0.3153846153846154,0.3583333333333331,-0.854545454545455,-1.1258064516129032,0.7210526315789467,1.0740740740740742,-1.39047619047619,-0.6744186046511628,-1.2100000000000002,-0.09333333333333371,0.545945945945946,-36.85,146.32
AU_83073,0.0,0.4388888888888889,0.023809523809523808,-1.2384615384615383,-2.371164021164021,0.589939024390244,-1.585714285714285,-3.315384615384615,-1.2543293718166382,-1.8767045454545452,0.8416666666666673,0.23076923076923078,-36.72,146.82
AU_81047,-0.049816849816849876,0.0,-0.23019480519480523,-0.47857142857142865,-0.234375,0.775,0.1999999999999981,-0.3818181818181818,-0.14285714285714285,-0.3972222222222221,-0.0820855614973261,0.08888888888888896,-36.77,143.83
AU_81085,0.21538461538461517,-0.16153846153846152,-0.34871794871794876,-0.38409090909090915,0.2777777777777778,0.2105263157894735,-0.4624999999999999,-0.12000000000000005,-0.5542857142857144,0.014634146341463448,0.09999999999999996,-0.24827586206896549,-36.86,143.73
AU_88011,0.03090062111801245,-0.19999999999999996,-0.16314041745730548,-0.4323660714285714,-0.7583333333333335,0.23636363636363633,0.02307692307692313,-0.1366666666666671,-0.4272727272727272,-1.0714285714285714,0.2590909090909093,0.38461538461538475,-37.22,143.96
AU_88013,-0.14516129032258066,0.11651542649727768,-0.27999999999999997,-0.4448333333333333,-0.4103448275862069,0.35625000000000057,0.2742857142857145,-0.43703703703703706,-0.25,-0.6333333333333329,0.0625,0.2222222222222222,-37.04,143.82
AU_88015,-0.4199999999999996,-0.06666666666666667,-0.2,-0.6270270270270271,-0.7529411764705882,0.02857142857142847,0.22666666666666657,-0.6,-0.13846153846153933,-0.8799999999999997,-0.42142857142857143,-0.13333333333333286,-37.3,143.78
AU_88020,-0.23749999999999982,0.20227272727272727,0.030000000000000072,-0.7066917293233083,-0.7125000000000001,0.5652173913043478,0.7466666666666664,0.025000000000000355,-0.30000000000000426,-0.6400000000000006,-0.10882352941176479,0.07272727272727274,-37.34,144.16
AU_88021,-0.6148214285714286,-0.9576330532212884,0.23293650793650786,-0.9590992647058822,-0.016666666666666757,0.4246464646464646,0.6627906976744188,-0.16500000000000004,-0.020432900432900414,-0.5880952380952381,-0.3743589743589744,0.1268292682926829,-37.2,144.01
AU_88083,-0.3120000000000003,0.11437908496732026,-0.10465116279069768,-0.5854166666666667,-0.6521739130434783,0.21034482758620696,0.10666666666666699,-0.5142857142857155,-0.37037037037037035,-0.6699999999999999,-0.10294117647058812,0.12750000000000003,-37.27,143.52
AU_88054,-0.17500000000000004,0.0,-0.09666666666666666,-0.8214285714285714,-0.5944444444444446,0.5641666666666665,0.5975000000000001,-0.2838709677419359,-0.537142857142857,-0.7333333333333335,-0.16637519872813988,0.08484848484848476,-37.27,144.11
AU_88056,-0.3000000000000007,-0.029629629629629523,-0.2962131837307153,-0.5945945945945945,-0.5599999999999994,0.1515151515151515,0.25599999999999995,-0.2750000000000001,-0.20416666666666694,-0.8509259259259258,-0.25227743271221537,0.06595238095238097,-37.17,143.7
